"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"03.07.1938 Strafgesetzbuch";"Nein";312030;31717;21813;14079;2791;6279;2440;1819;2623;2635;18749;9230;6694;4375;3778;3650;1643;29543;10133;26953;10208;8771;57484;13497;8061;13065;...
"20.02.1938 Private Rüstungsindustrie (Gegenentwurf)";"Nein";149025;26423;16873;3798;728;2821;346;376;1174;506;2036;2224;9143;2984;1611;2469;551;12135;3438;17574;8278;1301;23373;4841;3812;210;...
"20.02.1938 Private Rüstungsindustrie (Initiative)";"Nein";419013;71202;36798;15287;2601;6101;1283;1597;4620;2473;14235;14152;20689;7888;6945;6661;1786;40310;13650;38967;18748;9380;54514;14342;5580;8204;...
"20.02.1938 Dringliche Bundesbeschlüsse und demokratische Volksrechte";"Nein";488195;88947;44924;15991;2933;6684;1320;1630;4882;2689;14735;15147;21904;8759;8852;7368;1858;42387;18587;48885;21666;10836;62830;15284;7629;11468;...
"20.02.1938 Rätoromanisch als Nationalsprache";"Nein";52827;8339;7236;1098;449;1391;134;146;320;115;1154;570;2501;626;546;804;275;4396;1697;6939;2120;689;8414;2303;438;127;...
"28.11.1937 Verbot der Freimaurerei";"Nein";515327;98220;67956;15694;2770;6092;1259;1252;4253;2605;8025;22443;20526;10904;9394;8006;1283;41659;15440;47282;22182;14684;55126;10433;13097;14742;...
"08.09.1935 Initiative für die Totalrevision der Bundesverfassung";"Nein";511578;108449;73336;17117;2207;4957;1115;1138;4916;3424;9517;18015;20811;12293;9468;8228;1013;37251;13436;46837;21374;10057;53939;9197;11117;12366;...
"02.06.1935 Bekämpfung der Wirtschaftskrise";"Nein";567425;82842;78511;32702;3610;9894;3674;2722;6458;5218;26588;17995;18028;9596;6047;6592;2176;41650;15178;34121;20811;20367;61970;20489;18005;22181;...
"05.05.1935 Verkehrsteilungsgesetz";"Nein";487169;85911;64292;16967;2341;6135;2108;1979;3765;3418;17067;15547;11997;9055;6441;8170;1574;40516;7379;42420;18141;5147;63302;16741;15252;21504;...
"24.02.1935 Neuordnung der militärischen Ausbildung";"Nein";429520;65438;70907;19218;2567;8122;2485;2084;3302;4145;17358;14644;16037;12447;4439;5941;1977;30618;11968;28860;11306;12057;41606;14276;13161;14557;...
"11.03.1934 Schutz der öffentlichen Ordnung";"Nein";488672;85384;92795;18869;2012;7258;2180;1637;3696;4005;12412;19878;20367;15115;7541;7558;1229;37087;9957;36181;15211;7382;41029;10704;13091;16094;...
"28.05.1933 Herabsetzung Löhne Bundespersonal";"Nein";505190;90856;93862;21365;3786;7012;1674;1126;3295;4076;12603;22444;28185;15293;6549;3782;577;29420;13154;33627;12128;17101;39692;11077;13449;19057;...
"06.12.1931 Besteuerung des Tabaks";"Nein";425449;49586;72103;24848;3420;8295;3308;2394;3861;4206;17474;14146;10384;11691;6119;6460;1961;29487;13785;29057;14159;10121;48328;18929;9753;11574;...
"06.12.1931 Gesetz über die AHV";"Nein";513512;57185;83071;28478;3880;9826;3717;2673;4226;5054;30142;15515;11864;13208;6930;6912;2267;37758;15725;31743;17027;13847;62128;22577;11994;15765;...
"15.03.1931 Amtsdauer von Bundesbehörden";"Nein";256919;65118;32339;4111;723;1789;206;196;3251;932;2155;7387;8345;4467;3477;4322;384;21918;6647;26497;12999;2500;28227;4054;10764;4111;...
"15.03.1931 Wahl des Nationalrats";"Nein";253382;64183;35553;4137;703;1706;163;176;3316;963;2079;7883;8200;4264;5337;3018;258;19004;5489;26037;7713;7094;26284;4173;10079;5570;...
"08.02.1931 Ordensverbot";"Nein";124804;12947;6417;1936;192;1783;153;171;774;730;3860;2899;519;758;843;1237;316;9265;1945;9030;4092;1194;43542;9879;3499;6823;...
"06.04.1930 Alkoholwesen";"Nein";321641;35448;58754;27169;2229;8343;2921;2395;3393;4139;10147;15119;6214;9047;3688;5948;1139;26060;6786;26705;9867;5094;32042;7491;6277;5226;...
"12.05.1929 Branntweinverbot";"Nein";467724;68440;67962;25222;2878;7635;2485;2043;4293;3972;16835;22161;7154;9172;6220;6854;1883;35887;12948;38368;19068;8958;55253;13217;12636;16180;...
