"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"06.06.1982 Ausländergesetz";"Gültige Stimmzettel";1370672;305963;239362;63038;7947;18993;7347;6379;12692;17829;26628;56494;49242;45202;27785;11210;2096;75312;27028;82263;41053;51436;73279;29243;30091;53764;8996
"06.06.1982 Strafgesetzbuch";"Gültige Stimmzettel";1382671;308956;242052;63230;8046;19101;7402;6421;12739;17848;26914;56671;49600;45352;28080;11254;2178;75703;27369;82744;41413;51677;74021;29412;30376;54906;9206
"29.11.1981 Weiterführung Finanzordnung";"Gültige Stimmzettel";1186835;277648;170363;71064;8563;19690;5040;6083;7237;19747;29564;48523;31195;36471;26594;11394;2514;67403;28679;69692;39462;40424;65322;28804;22740;43568;9051
"14.06.1981 Konsumentenschutzartikel";"Gültige Stimmzettel";1309006;261035;176395;67452;8036;19873;5264;7061;7970;20192;28774;88039;44341;44230;27843;11118;2517;73172;29768;84901;39877;42647;77822;32692;30263;66785;10939
"14.06.1981 Gleichstellung von Mann und Frau";"Gültige Stimmzettel";1323587;266619;177168;67982;8265;20075;5362;7141;8014;20554;28936;88576;44687;44530;28591;11244;2529;73620;30054;85950;40270;42915;78446;33084;30399;67536;11040
"05.04.1981 Neue Ausländerpolitik";"Gültige Stimmzettel";1556684;297131;200333;78238;10156;22780;6191;8088;9487;21903;45026;51765;50653;52715;29363;11972;3444;83641;40905;94166;46020;72397;113991;63239;47917;81843;13320
"30.11.1980 Brotgetreideordnung";"Gültige Stimmzettel";1594016;297906;246682;77251;9146;21912;6948;8309;8840;19916;40710;56254;48064;56573;28365;11971;3173;81850;40936;105490;49628;57716;121031;68821;36089;63056;27379
"30.11.1980 Alkoholeinnahmen";"Gültige Stimmzettel";1587227;296784;245531;76843;9098;21815;6926;8263;8808;19722;40635;55960;47952;56351;28106;11884;3155;81581;40371;104542;49378;57432;120859;68780;36119;62784;27548
"30.11.1980 Kantonsanteil Stempelabgaben";"Gültige Stimmzettel";1574755;293917;244216;76475;9005;21746;6884;8240;8785;19771;40284;56153;47584;55983;27986;11786;3150;80964;40029;103992;48759;57213;118196;68208;35715;62375;27339
"30.11.1980 Gurten- und Schutzhelmobligatorium";"Gültige Stimmzettel";1633109;307072;249376;78211;9241;22124;7021;8374;8852;20241;41389;56575;48786;57385;30606;12124;3155;82808;40940;107789;50530;59383;129568;70788;36864;65619;28288
