"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"04.03.2001 Strassen für alle";"Abgegebene Stimmen";2616139;441084;366213;137043;13307;53502;13181;16573;13038;41469;98112;95575;70663;101115;33321;21703;5927;159520;62561;184164;75859;95912;169320;116276;72172;132313;26216
"04.03.2001 Arzneimittel-Initiative";"Abgegebene Stimmen";2612008;439944;366201;136958;13273;53351;13160;16554;13022;40902;98020;95446;70533;100975;33272;21607;5916;158758;62338;183598;76085;95914;169298;116276;72122;132313;26172
"04.03.2001 Ja zu Europa!";"Abgegebene Stimmen";2616119;441236;366212;137078;13318;53541;13178;16553;13034;41168;98040;95593;70654;100948;33266;21668;5920;159424;62830;184110;76146;95916;169305;116288;72188;132313;26192
"26.11.2000 Bundespersonalgesetz";"Abgegebene Stimmen";1944222;330021;292380;96394;9192;36678;8360;11480;9296;30180;68493;72162;61316;71538;29459;16063;3577;107494;41760;135204;57461;80203;133391;75153;40052;98885;28030
"26.11.2000 Spitalkosteninitiative";"Abgegebene Stimmen";1950182;332320;292377;96468;9278;36783;8319;11571;9300;30218;68507;72210;61575;71828;29430;16217;3584;108656;42135;135770;57577;80202;133363;75143;40160;99051;28140
"26.11.2000 Umverteilungsinitiative";"Abgegebene Stimmen";1952765;333026;292381;96492;9328;36828;8378;11585;9305;30237;68569;72246;61726;72164;29526;16309;3522;108956;42251;136220;57608;80204;133401;75146;40098;99154;28105
"26.11.2000 Rentenalter ab 62 für Frau und Mann";"Abgegebene Stimmen";1952766;333211;292380;96329;9298;36812;8380;11578;9275;30238;68744;72260;61663;71968;29482;16111;3482;108997;42364;136252;57636;80203;133406;75151;40132;99238;28176
"26.11.2000 Flexibilisierung der AHV";"Abgegebene Stimmen";1950308;332272;292377;96432;9268;36776;8381;11561;9293;30181;68568;72083;61534;71762;29503;16208;3584;108953;42195;135856;57534;80204;133361;75139;40091;99017;28175
"24.09.2000 Konstruktives Referendum";"Abgegebene Stimmen";2095513;389816;300137;114238;10407;39754;10047;12837;10366;32335;73819;78027;62390;81029;30677;17485;3882;129229;45402;146027;61175;69256;142968;66402;43035;106649;18124
"24.09.2000 Regelung der Zuwanderung";"Abgegebene Stimmen";2117053;397573;301301;115411;10601;39984;10084;12894;10381;32633;74270;78289;63118;81825;30804;17696;3885;132573;46639;148107;61521;69262;143005;66389;42995;107607;18206
