"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"02.12.1984 Radio- und Fernsehartikel";"Stimmberechtigte";4123190;724492;633479;197394;22791;64488;17738;20934;23317;49172;124785;146000;136793;146242;45061;31737;8833;248424;108246;292916;115269;161337;324493;148606;98028;190049;42566
"02.12.1984 Mutterschutz-Initiative";"Stimmberechtigte";4123190;724492;633479;197394;22791;64488;17738;20934;23317;49172;124785;146000;136793;146242;45061;31737;8833;248424;108246;292916;115269;161337;324493;148606;98028;190049;42566
"23.09.1984 Umweltgerechte Energieversorgung";"Stimmberechtigte";4114658;722484;632438;196877;22758;64357;17670;20823;23281;48914;124421;145764;137026;145854;45015;31804;8816;247936;107927;291895;115000;161205;324161;148173;97953;189533;42573
"23.09.1984 Zukunft ohne neue Atomkraftwerke";"Stimmberechtigte";4114658;722484;632438;196877;22758;64357;17670;20823;23281;48914;124421;145764;137026;145854;45015;31804;8816;247936;107927;291895;115000;161205;324161;148173;97953;189533;42573
"20.05.1984 Gegen den Ausverkauf der Heimat";"Stimmberechtigte";4097762;720476;630156;195756;22698;63881;17565;20765;23146;48493;123732;145145;137019;144877;44884;31612;8788;246612;107797;290281;114281;160509;322994;147005;97853;189030;42407
"20.05.1984 Banken-Initiative";"Stimmberechtigte";4097762;720476;630156;195756;22698;63881;17565;20765;23146;48493;123732;145145;137019;144877;44884;31612;8788;246612;107797;290281;114281;160509;322994;147005;97853;189030;42407
"26.02.1984 Zivildienst-Initiative";"Stimmberechtigte";4087215;719682;628122;194852;22559;63548;17483;20534;23082;48165;123390;144732;137256;144725;44757;31585;8719;245740;108186;288959;113863;160080;322094;146602;97540;188580;42380
"26.02.1984 Einführung Autobahnvignette";"Stimmberechtigte";4087215;719682;628122;194852;22559;63548;17483;20534;23082;48165;123390;144732;137256;144725;44757;31585;8719;245740;108186;288959;113863;160080;322094;146602;97540;188580;42380
"26.02.1984 Erhebung Schwerverkehrsabgae";"Stimmberechtigte";4087215;719682;628122;194852;22559;63548;17483;20534;23082;48165;123390;144732;137256;144725;44757;31585;8719;245740;108186;288959;113863;160080;322094;146602;97540;188580;42380
"04.12.1983 Erleichterung Einbürgerungen";"Stimmberechtigte";4073941;717854;626559;194171;22551;63266;17407;20397;23051;47866;122733;144353;137307;143737;44585;31512;8703;245087;106878;287838;113476;159257;321376;145908;97637;188122;42310
"04.12.1983 Bürgerrechtsregelung";"Stimmberechtigte";4073941;717854;626559;194171;22551;63266;17407;20397;23051;47866;122733;144353;137307;143737;44585;31512;8703;245087;106878;287838;113476;159257;321376;145908;97637;188122;42310
"27.02.1983 Energieartikel";"Stimmberechtigte";4034694;713637;621719;191667;22256;62116;17081;20060;22871;47065;120964;142936;138057;141682;44239;31176;8601;241790;106455;283702;111640;157332;318510;142914;97324;186825;42075
"27.02.1983 Neuregelung Treibstoffzölle";"Stimmberechtigte";4034694;713637;621719;191667;22256;62116;17081;20060;22871;47065;120964;142936;138057;141682;44239;31176;8601;241790;106455;283702;111640;157332;318510;142914;97324;186825;42075
"28.11.1982 Gegenentwurf zur Preisüberwachungs-Initiative";"Stimmberechtigte";4022995;711634;620471;191068;22218;61825;17069;19973;22942;46888;120335;142766;138023;141283;44130;31159;8567;241486;104873;282644;111122;157108;317314;142117;97593;186578;41809
"28.11.1982 Preisüberwachungs-Initiative";"Stimmberechtigte";4022995;711634;620471;191068;22218;61825;17069;19973;22942;46888;120335;142766;138023;141283;44130;31159;8567;241486;104873;282644;111122;157108;317314;142117;97593;186578;41809
"06.06.1982 Ausländergesetz";"Stimmberechtigte";3999674;708674;616186;189817;22049;61145;16863;19669;22855;46330;119411;141967;138488;139872;43928;30873;8534;239362;104450;280529;110173;155992;316131;141178;97509;186031;41658
"06.06.1982 Strafgesetzbuch";"Stimmberechtigte";3999674;708674;616186;189817;22049;61145;16863;19669;22855;46330;119411;141967;138488;139872;43928;30873;8534;239362;104450;280529;110173;155992;316131;141178;97509;186031;41658
"29.11.1981 Weiterführung Finanzordnung";"Stimmberechtigte";3976769;706319;613123;188034;21875;60662;16611;19471;22836;45782;118473;141168;138859;138643;43704;30766;8403;237831;103549;278259;109302;154697;313940;139889;97878;185266;41429
"14.06.1981 Konsumentenschutzartikel";"Stimmberechtigte";3958455;703453;609921;186853;21801;60191;16417;19246;22792;45447;117543;140444;139188;137971;43514;30578;8398;236282;102925;276126;108319;153826;315081;138769;97585;184503;41282
"14.06.1981 Gleichstellung von Mann und Frau";"Stimmberechtigte";3958455;703453;609921;186853;21801;60191;16417;19246;22792;45447;117543;140444;139188;137971;43514;30578;8398;236282;102925;276126;108319;153826;315081;138769;97585;184503;41282
"05.04.1981 Neue Ausländerpolitik";"Stimmberechtigte";3947890;701539;609128;185920;21801;59882;16395;19103;22741;45252;117231;139820;139506;137622;43399;30461;8388;235352;103690;274638;107973;153235;313516;138660;97381;184011;41246
"30.11.1980 Brotgetreideordnung";"Stimmberechtigte";3935792;701057;606986;185370;21812;59476;16302;18849;22755;45078;116616;139600;139544;136944;43271;30472;8377;234873;101976;273839;107750;152059;312881;137412;97373;183770;41350
"30.11.1980 Alkoholeinnahmen";"Stimmberechtigte";3935792;701057;606986;185370;21812;59476;16302;18849;22755;45078;116616;139600;139544;136944;43271;30472;8377;234873;101976;273839;107750;152059;312881;137412;97373;183770;41350
"30.11.1980 Kantonsanteil Stempelabgaben";"Stimmberechtigte";3935792;701057;606986;185370;21812;59476;16302;18849;22755;45078;116616;139600;139544;136944;43271;30472;8377;234873;101976;273839;107750;152059;312881;137412;97373;183770;41350
"30.11.1980 Gurten- und Schutzhelmobligatorium";"Stimmberechtigte";3935792;701057;606986;185370;21812;59476;16302;18849;22755;45078;116616;139600;139544;136944;43271;30472;8377;234873;101976;273839;107750;152059;312881;137412;97373;183770;41350
"02.03.1980 Neuordnung Landesversorgung";"Stimmberechtigte";3907773;696620;603287;183204;21609;58529;16120;18460;22707;44585;115627;138368;140273;135408;42981;29992;8233;232798;102365;270057;107070;150426;311591;136131;97245;182994;41093
"02.03.1980 Trennung Kirche und Staat";"Stimmberechtigte";3907773;696620;603287;183204;21609;58529;16120;18460;22707;44585;115627;138368;140273;135408;42981;29992;8233;232798;102365;270057;107070;150426;311591;136131;97245;182994;41093
"20.05.1979 Atomgesetz";"Stimmberechtigte";3876719;692488;598594;181604;21478;57743;15937;18124;22761;43673;114660;137406;140575;133593;42754;30032;8149;230404;100584;266613;105981;149567;309239;134243;97577;182101;40839
"20.05.1979 Umsatz- und direkte Bundessteuer";"Stimmberechtigte";3876719;692488;598594;181604;21478;57743;15937;18124;22761;43673;114660;137406;140575;133593;42754;30032;8149;230404;100584;266613;105981;149567;309239;134243;97577;182101;40839
"18.02.1979 Volksrechte und Atomsicherheit";"Stimmberechtigte";3867603;690826;597718;180713;21403;57368;15893;18005;22763;43629;114143;137142;141062;133384;42676;30139;8083;229702;100716;265477;105867;148427;309212;133900;97374;181617;40364
"18.02.1979 Gegen Suchtmittelreklame";"Stimmberechtigte";3867603;690826;597718;180713;21403;57368;15893;18005;22763;43629;114143;137142;141062;133384;42676;30139;8083;229702;100716;265477;105867;148427;309212;133900;97374;181617;40364
"18.02.1979 Fuss- und Wanderwege";"Stimmberechtigte";3867603;690826;597718;180713;21403;57368;15893;18005;22763;43629;114143;137142;141062;133384;42676;30139;8083;229702;100716;265477;105867;148427;309212;133900;97374;181617;40364
"18.02.1979 Stimmrecht für 18-Jährige";"Stimmberechtigte";3867603;690826;597718;180713;21403;57368;15893;18005;22763;43629;114143;137142;141062;133384;42676;30139;8083;229702;100716;265477;105867;148427;309212;133900;97374;181617;40364
"03.12.1978 Berufsbildungsgesetz";"Stimmberechtigte";3857162;689014;637529;180253;21395;57071;15828;17935;22767;43461;113925;136944;140886;133023;42518;30065;8072;229331;99172;264576;105555;148193;307792;133128;97175;181554;...
"03.12.1978 Sicherheitspolizei";"Stimmberechtigte";3857162;689014;637529;180253;21395;57071;15828;17935;22767;43461;113925;136944;140886;133023;42518;30065;8072;229331;99172;264576;105555;148193;307792;133128;97175;181554;...
"03.12.1978 Tierschutzgesetz";"Stimmberechtigte";3857162;689014;637529;180253;21395;57071;15828;17935;22767;43461;113925;136944;140886;133023;42518;30065;8072;229331;99172;264576;105555;148193;307792;133128;97175;181554;...
"03.12.1978 Milchwirtschaftsbeschluss";"Stimmberechtigte";3857162;689014;637529;180253;21395;57071;15828;17935;22767;43461;113925;136944;140886;133023;42518;30065;8072;229331;99172;264576;105555;148193;307792;133128;97175;181554;...
"24.09.1978 Gründung des Kantons Jura";"Stimmberechtigte";3848961;687667;636686;179896;21338;57010;15753;17876;22725;43275;113701;136520;141098;132478;42525;29941;8085;228869;99160;263771;105443;147208;307227;132345;97214;181150;...
"28.05.1978 12 autofreie Sonntage";"Stimmberechtigte";3835650;685685;633689;178836;21272;56593;15716;17739;22656;43035;114070;136118;141253;131987;42489;29868;8053;228092;98912;262100;104883;146548;306632;132016;96838;180570;...
"28.05.1978 Hochschulförderung";"Stimmberechtigte";3835650;685685;633689;178836;21272;56593;15716;17739;22656;43035;114070;136118;141253;131987;42489;29868;8053;228092;98912;262100;104883;146548;306632;132016;96838;180570;...
"28.05.1978 Schwangerschaftsabbruch";"Stimmberechtigte";3835650;685685;633689;178836;21272;56593;15716;17739;22656;43035;114070;136118;141253;131987;42489;29868;8053;228092;98912;262100;104883;146548;306632;132016;96838;180570;...
"28.05.1978 Zolltarifgesetz";"Stimmberechtigte";3835650;685685;633689;178836;21272;56593;15716;17739;22656;43035;114070;136118;141253;131987;42489;29868;8053;228092;98912;262100;104883;146548;306632;132016;96838;180570;...
"28.05.1978 Zeitgesetz";"Stimmberechtigte";3835650;685685;633689;178836;21272;56593;15716;17739;22656;43035;114070;136118;141253;131987;42489;29868;8053;228092;98912;262100;104883;146548;306632;132016;96838;180570;...
"26.02.1978 Konjunkturartikel";"Stimmberechtigte";3821750;682548;628292;178016;21253;56326;15715;17660;22625;42781;112989;135826;141501;131564;42450;29754;7999;227806;99740;260724;104545;146476;306274;131905;96896;180085;...
"26.02.1978 Herabsetzung AHV-Alter";"Stimmberechtigte";3821750;682548;628292;178016;21253;56326;15715;17660;22625;42781;112989;135826;141501;131564;42450;29754;7999;227806;99740;260724;104545;146476;306274;131905;96896;180085;...
"26.02.1978 9. AHV-Revision";"Stimmberechtigte";3821750;682548;628292;178016;21253;56326;15715;17660;22625;42781;112989;135826;141501;131564;42450;29754;7999;227806;99740;260724;104545;146476;306274;131905;96896;180085;...
"26.02.1978 Mitbestimmung im Nationalstrassenbau";"Stimmberechtigte";3821750;682548;628292;178016;21253;56326;15715;17660;22625;42781;112989;135826;141501;131564;42450;29754;7999;227806;99740;260724;104545;146476;306274;131905;96896;180085;...
