Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève
813232;685455;237798;25484;90327;22980;28342;24989;67809;165061;165930;116541;179535;48054;35572;10284;291592;130358;364697;146793;199063;374771;190061;105317;220667
813232;685455;237798;25484;90327;22980;28342;24989;67809;165061;165930;116541;179535;48054;35572;10284;291592;130358;364697;146793;199063;374771;190061;105317;220667
813232;685455;237798;25484;90327;22980;28342;24989;67809;165061;165930;116541;179535;48054;35572;10284;291592;130358;364697;146793;199063;374771;190061;105317;220667
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
808049;683773;236813;25542;89466;22856;28095;24871;66627;163786;165758;116680;178195;48005;35942;10213;290016;129445;362791;145689;198338;373229;188577;105048;218547
807476;681855;236186;25495;89187;22863;27956;24847;66568;162997;165701;117007;177936;47980;35862;10173;289986;129155;361381;145238;198284;372764;188111;104635;217821
807476;681855;236186;25495;89187;22863;27956;24847;66568;162997;165701;117007;177936;47980;35862;10173;289986;129155;361381;145238;198284;372764;188111;104635;217821
805245;682010;235967;25513;88773;22793;27857;24825;66680;162663;165498;117190;177910;47969;35816;10017;290048;129018;361006;144986;197934;372056;187541;104799;217632
805245;682010;235967;25513;88773;22793;27857;24825;66680;162663;165498;117190;177910;47969;35816;10017;290048;129018;361006;144986;197934;372056;187541;104799;217632
803651;681520;235599;25445;88576;22747;27866;24757;66501;162268;165380;117414;177870;47957;35803;10144;289872;128926;360199;144779;198001;371470;187229;104724;217280
803651;681520;235599;25445;88576;22747;27866;24757;66501;162268;165380;117414;177870;47957;35803;10144;289872;128926;360199;144779;198001;371470;187229;104724;217280
