"CubeId";"snbcurrp"
"PublishingDate";"2017-05-31 09:00"

"Date";"D0";"D1";"Value"
"2010-Q3";"WDD";"USD";"24.68058909"
"2010-Q3";"WDD";"EUR";"55.87470825"
"2010-Q3";"WDD";"JPY";"9.66164612"
"2010-Q3";"WDD";"GBP";"3.07650012"
"2010-Q3";"WDD";"CAD";"3.9631445"
"2010-Q3";"WDD";"U";"2.74341192"
"2010-Q3";"WDD";"T";"100"
"2010-Q4";"WDD";"USD";"24.84278026"
"2010-Q4";"WDD";"EUR";"54.93177322"
"2010-Q4";"WDD";"JPY";"10.16057573"
"2010-Q4";"WDD";"GBP";"3.10813719"
"2010-Q4";"WDD";"CAD";"4.14063874"
"2010-Q4";"WDD";"U";"2.81609486"
"2010-Q4";"WDD";"T";"100"
"2011-Q1";"WDD";"USD";"24.47651798"
"2011-Q1";"WDD";"EUR";"56.31564256"
"2011-Q1";"WDD";"JPY";"9.33350729"
"2011-Q1";"WDD";"GBP";"3.07464421"
"2011-Q1";"WDD";"CAD";"4.03960036"
"2011-Q1";"WDD";"U";"2.76008761"
"2011-Q1";"WDD";"T";"100"
"2011-Q2";"WDD";"USD";"24.83173889"
"2011-Q2";"WDD";"EUR";"55.34172264"
"2011-Q2";"WDD";"JPY";"9.78925105"
"2011-Q2";"WDD";"GBP";"3.12651642"
"2011-Q2";"WDD";"CAD";"4.04393694"
"2011-Q2";"WDD";"U";"2.86683407"
"2011-Q2";"WDD";"T";"100"
"2011-Q3";"WDD";"USD";"33.74548281"
"2011-Q3";"WDD";"EUR";"50.73206586"
"2011-Q3";"WDD";"JPY";"6.83281054"
"2011-Q3";"WDD";"GBP";"3.38102614"
"2011-Q3";"WDD";"CAD";"2.99061071"
"2011-Q3";"WDD";"U";"2.31800395"
"2011-Q3";"WDD";"T";"100"
"2011-Q4";"WDD";"USD";"22.92383396"
"2011-Q4";"WDD";"EUR";"56.95238613"
"2011-Q4";"WDD";"JPY";"8.36745776"
"2011-Q4";"WDD";"GBP";"4.24907359"
"2011-Q4";"WDD";"CAD";"4.29286606"
"2011-Q4";"WDD";"U";"3.21438251"
"2011-Q4";"WDD";"T";"100"
"2012-Q1";"WDD";"USD";"26.04630789"
"2012-Q1";"WDD";"EUR";"50.54164548"
"2012-Q1";"WDD";"JPY";"8.00185998"
"2012-Q1";"WDD";"GBP";"8.52661201"
"2012-Q1";"WDD";"CAD";"3.60401047"
"2012-Q1";"WDD";"U";"3.27956418"
"2012-Q1";"WDD";"T";"100"
"2012-Q2";"WDD";"USD";"21.74174787"
"2012-Q2";"WDD";"EUR";"60.11490175"
"2012-Q2";"WDD";"JPY";"8.29280574"
"2012-Q2";"WDD";"GBP";"3.27588381"
"2012-Q2";"WDD";"CAD";"3.17132681"
"2012-Q2";"WDD";"U";"3.40333401"
"2012-Q2";"WDD";"T";"100"
"2012-Q3";"WDD";"USD";"27.56451344"
"2012-Q3";"WDD";"EUR";"48.98059038"
"2012-Q3";"WDD";"JPY";"8.62410334"
"2012-Q3";"WDD";"GBP";"6.67794601"
"2012-Q3";"WDD";"CAD";"4.00156254"
"2012-Q3";"WDD";"U";"4.15128428"
"2012-Q3";"WDD";"T";"100"
"2012-Q4";"WDD";"USD";"27.18206707"
"2012-Q4";"WDD";"EUR";"50.05367959"
"2012-Q4";"WDD";"JPY";"7.98107524"
"2012-Q4";"WDD";"GBP";"6.66307124"
"2012-Q4";"WDD";"CAD";"3.94149012"
"2012-Q4";"WDD";"U";"4.17861674"
"2012-Q4";"WDD";"T";"100"
"2013-Q1";"WDD";"USD";"26.86045484"
"2013-Q1";"WDD";"EUR";"48.00087267"
"2013-Q1";"WDD";"JPY";"8.47274102"
"2013-Q1";"WDD";"GBP";"6.86400865"
"2013-Q1";"WDD";"CAD";"4.23832822"
"2013-Q1";"WDD";"U";"5.5635946"
"2013-Q1";"WDD";"T";"100"
"2013-Q2";"WDD";"USD";"27.02173327"
"2013-Q2";"WDD";"EUR";"48.48307331"
"2013-Q2";"WDD";"JPY";"8.55455634"
"2013-Q2";"WDD";"GBP";"6.66447387"
"2013-Q2";"WDD";"CAD";"4.01800887"
"2013-Q2";"WDD";"U";"5.25815434"
"2013-Q2";"WDD";"T";"100"
"2013-Q3";"WDD";"USD";"25.82160029"
"2013-Q3";"WDD";"EUR";"49.28026719"
"2013-Q3";"WDD";"JPY";"8.43102187"
"2013-Q3";"WDD";"GBP";"7.00016856"
"2013-Q3";"WDD";"CAD";"3.97629248"
"2013-Q3";"WDD";"U";"5.49064961"
"2013-Q3";"WDD";"T";"100"
"2013-Q4";"WDD";"USD";"25.89790778"
"2013-Q4";"WDD";"EUR";"49.19501498"
"2013-Q4";"WDD";"JPY";"8.05080605"
"2013-Q4";"WDD";"GBP";"7.08749467"
"2013-Q4";"WDD";"CAD";"4.06082234"
"2013-Q4";"WDD";"U";"5.70795418"
"2013-Q4";"WDD";"T";"100"
"2014-Q1";"WDD";"USD";"26.28259846"
"2014-Q1";"WDD";"EUR";"47.82548379"
"2014-Q1";"WDD";"JPY";"8.27174031"
"2014-Q1";"WDD";"GBP";"6.65104474"
"2014-Q1";"WDD";"CAD";"4.13266152"
"2014-Q1";"WDD";"U";"6.83647118"
"2014-Q1";"WDD";"T";"100"
"2014-Q2";"WDD";"USD";"26.37765238"
"2014-Q2";"WDD";"EUR";"46.81229896"
"2014-Q2";"WDD";"JPY";"8.51116074"
"2014-Q2";"WDD";"GBP";"7.02801049"
"2014-Q2";"WDD";"CAD";"4.36754585"
"2014-Q2";"WDD";"U";"6.90333158"
"2014-Q2";"WDD";"T";"100"
"2014-Q3";"WDD";"USD";"28.86860259"
"2014-Q3";"WDD";"EUR";"44.61434914"
"2014-Q3";"WDD";"JPY";"8.30705619"
"2014-Q3";"WDD";"GBP";"7.07084306"
"2014-Q3";"WDD";"CAD";"4.44120634"
"2014-Q3";"WDD";"U";"6.69794268"
"2014-Q3";"WDD";"T";"100"
"2014-Q4";"WDD";"USD";"28.86198164"
"2014-Q4";"WDD";"EUR";"46.33944342"
"2014-Q4";"WDD";"JPY";"7.70691887"
"2014-Q4";"WDD";"GBP";"6.70950659"
"2014-Q4";"WDD";"CAD";"4.10725488"
"2014-Q4";"WDD";"U";"6.27489461"
"2014-Q4";"WDD";"T";"100"
"2015-Q1";"WDD";"USD";"32.4215652"
"2015-Q1";"WDD";"EUR";"41.9412698"
"2015-Q1";"WDD";"JPY";"7.93206361"
"2015-Q1";"WDD";"GBP";"7.182824"
"2015-Q1";"WDD";"CAD";"3.7859514"
"2015-Q1";"WDD";"U";"6.73632599"
"2015-Q1";"WDD";"T";"100"
"2015-Q2";"WDD";"USD";"32.30073362"
"2015-Q2";"WDD";"EUR";"42.4839925"
"2015-Q2";"WDD";"JPY";"7.69164681"
"2015-Q2";"WDD";"GBP";"7.61406573"
"2015-Q2";"WDD";"CAD";"3.55869684"
"2015-Q2";"WDD";"U";"6.3508645"
"2015-Q2";"WDD";"T";"100"
"2015-Q3";"WDD";"USD";"33.53467742"
"2015-Q3";"WDD";"EUR";"41.88326603"
"2015-Q3";"WDD";"JPY";"7.60218124"
"2015-Q3";"WDD";"GBP";"7.41328483"
"2015-Q3";"WDD";"CAD";"3.28573616"
"2015-Q3";"WDD";"U";"6.28085431"
"2015-Q3";"WDD";"T";"100"
"2015-Q4";"WDD";"USD";"32.62384554"
"2015-Q4";"WDD";"EUR";"42.90938756"
"2015-Q4";"WDD";"JPY";"7.78749863"
"2015-Q4";"WDD";"GBP";"7.24643413"
"2015-Q4";"WDD";"CAD";"3.04817256"
"2015-Q4";"WDD";"U";"6.38466159"
"2015-Q4";"WDD";"T";"100"
"2016-Q1";"WDD";"USD";"33.27298385"
"2016-Q1";"WDD";"EUR";"42.30288679"
"2016-Q1";"WDD";"JPY";"7.17804015"
"2016-Q1";"WDD";"GBP";"7.00701611"
"2016-Q1";"WDD";"CAD";"3.12301435"
"2016-Q1";"WDD";"U";"7.11605875"
"2016-Q1";"WDD";"T";"100"
"2016-Q2";"WDD";"USD";"33.47673005"
"2016-Q2";"WDD";"EUR";"42.06155572"
"2016-Q2";"WDD";"JPY";"7.6417941"
"2016-Q2";"WDD";"GBP";"6.91715128"
"2016-Q2";"WDD";"CAD";"3.03902487"
"2016-Q2";"WDD";"U";"6.86374398"
"2016-Q2";"WDD";"T";"100"
"2016-Q3";"WDD";"USD";"33.3055719"
"2016-Q3";"WDD";"EUR";"42.7777753"
"2016-Q3";"WDD";"JPY";"7.14874462"
"2016-Q3";"WDD";"GBP";"7.00440418"
"2016-Q3";"WDD";"CAD";"2.94980418"
"2016-Q3";"WDD";"U";"6.81369982"
"2016-Q3";"WDD";"T";"100"
"2016-Q4";"WDD";"USD";"33.25697711"
"2016-Q4";"WDD";"EUR";"44.43504878"
"2016-Q4";"WDD";"JPY";"6.6393254"
"2016-Q4";"WDD";"GBP";"6.61747724"
"2016-Q4";"WDD";"CAD";"2.82437266"
"2016-Q4";"WDD";"U";"6.22679881"
"2016-Q4";"WDD";"T";"100"
